epoch, energy, energy_std, energy_window, rel_error, time
342,-4.00432,0.10436,-4.00393,0.00404,0.00079,1.78430
343,-4.00466,0.09833,-4.00400,0.00402,0.00071,1.57509
344,-4.01103,0.09909,-4.00414,0.00414,0.00088,1.56437
345,-4.00258,0.09078,-4.00413,0.00414,0.00123,1.59144
346,-4.00704,0.09634,-4.00424,0.00414,0.00012,1.60420
347,-4.00182,0.08677,-4.00443,0.00380,0.00142,1.57265
348,-4.00864,0.09284,-4.00465,0.00372,0.00028,1.62652
349,-4.00711,0.09510,-4.00459,0.00364,0.00010,1.60294
350,-4.00485,0.09084,-4.00456,0.00364,0.00066,1.56176
351,-4.00309,0.08755,-4.00453,0.00364,0.00110,1.56622
352,-4.01153,0.09040,-4.00470,0.00377,0.00100,1.59353
353,-4.00546,0.08781,-4.00481,0.00371,0.00051,1.55616
354,-4.00607,0.08644,-4.00495,0.00362,0.00036,1.56520
355,-4.00011,0.07603,-4.00499,0.00355,0.00184,1.58975
356,-4.00304,0.08198,-4.00491,0.00354,0.00111,1.57070
357,-4.00606,0.07954,-4.00508,0.00339,0.00036,1.63487
358,-4.00527,0.07945,-4.00500,0.00334,0.00056,1.66083
359,-4.00406,0.08094,-4.00502,0.00333,0.00086,1.60264
360,-4.00969,0.08422,-4.00515,0.00338,0.00055,1.63282
361,-4.00674,0.07902,-4.00507,0.00328,0.00019,1.57569
362,-4.01047,0.07521,-4.00517,0.00337,0.00074,1.58001
363,-4.00760,0.06939,-4.00529,0.00335,0.00002,1.57600
364,-4.00814,0.06407,-4.00535,0.00337,0.00016,1.60126
365,-4.00937,0.06388,-4.00539,0.00341,0.00047,1.59116
366,-4.00780,0.05927,-4.00551,0.00339,0.00008,1.60981
367,-4.00512,0.05960,-4.00545,0.00337,0.00059,1.60955
368,-4.00905,0.05682,-4.00558,0.00338,0.00039,1.60275
369,-4.00612,0.05660,-4.00558,0.00338,0.00035,1.58714
370,-4.00727,0.05920,-4.00575,0.00323,0.00006,1.58907
371,-4.00347,0.05541,-4.00581,0.00317,0.00101,1.63719
372,-4.00434,0.05086,-4.00583,0.00315,0.00079,1.62714
373,-4.00602,0.05047,-4.00599,0.00295,0.00037,1.61431
374,-4.00625,0.04807,-4.00606,0.00291,0.00031,1.62839
375,-4.00718,0.04939,-4.00600,0.00284,0.00008,1.59052
376,-4.00562,0.04804,-4.00598,0.00284,0.00047,1.59347
377,-4.00494,0.04748,-4.00588,0.00280,0.00064,1.56658
378,-4.00347,0.04543,-4.00590,0.00278,0.00101,1.65401
379,-4.00449,0.04402,-4.00592,0.00277,0.00075,1.61114
380,-4.00934,0.04318,-4.00596,0.00280,0.00046,1.58861
381,-4.00811,0.04502,-4.00612,0.00268,0.00015,1.59460
382,-4.00723,0.04135,-4.00613,0.00268,0.00007,1.59975
383,-4.00899,0.04284,-4.00610,0.00264,0.00037,1.58468
384,-4.00699,0.04861,-4.00610,0.00264,0.00013,1.55033
385,-4.00830,0.05493,-4.00612,0.00266,0.00020,1.58681
386,-4.00463,0.05624,-4.00614,0.00264,0.00072,1.56293
387,-4.00644,0.05887,-4.00628,0.00246,0.00027,1.61112
388,-4.00493,0.05124,-4.00634,0.00239,0.00064,1.61505
389,-4.00596,0.04644,-4.00631,0.00239,0.00038,1.57544
390,-4.00838,0.04087,-4.00637,0.00241,0.00022,1.59016
